"Name","Entity","Notes"
".aero","air-transport industry","Must verify eligibility for registration; only those in various categories of air-travel-related entities may register."
".asia","Asia-Pacific region","This is a TLD for companies, organizations, and individuals based in the region of Asia, Australia, and the Pacific."
".biz","business","This is an open TLD; any person or entity is permitted to register; however, registrations may be challenged later if they are not held by commercial entities in accordance with the domain's charter. This TLD was created to provide relief for the wildly popular .com TLD."
".cat","Catalan","This is a TLD for Web sites in the Catalan language or related to Catalan culture."
".com","commercial","This is an open TLD; any person or entity is permitted to register. Though originally intended for use by for-profit business entities, for a number of reasons it became the ""main"" TLD for domain names and is currently used by all types of entities including nonprofits, schools and private individuals. Domain name registrations may be challenged if the holder cannot prove an outside relation justifying reservation of the name, to prevent ""squatting""."
".coop","cooperatives","The .coop TLD is limited to cooperatives as defined by the Rochdale Principles."
".info","information","This is an open TLD; any person or entity is permitted to register."
".int","international organizations","The .int TLD is strictly limited to organizations, offices, and programs which are endorsed by a treaty between two or more nations. However, there are a few grandfathered domain names that do not meet these criteria."
".jobs","companies","The .jobs TLD is designed to be added after the names of established companies with jobs to advertise. At this time, owners of a ""company.jobs"" domain are not permitted to post jobs of third party employers."
".mobi","mobile devices","Must be used for mobile-compatible sites in accordance with standards."
".museum","museums","Must be verified as a legitimate museum."
".name","individuals, by name","This is an open TLD; any person or entity is permitted to register; however, registrations may be challenged later if they are not by individuals (or the owners of fictional characters) in accordance with the domain's charter."
".net","network","This is an open TLD; any person or entity is permitted to register. Originally intended for use by domains pointing to a distributed network of computers, or ""umbrella"" sites that act as the portal to a set of smaller websites."
".org","organization","This is an open TLD; any person or entity is permitted to register. Originally intended for use by non-profit organizations, and still primarily used by some."
".pro","professions","Currently, .pro is reserved for licensed or certified professionals worldwide. A professional seeking to register a .pro domain must provide their registrar with the appropriate credentials."
".tel","Internet communication services","A contact directory housing all types of contact information directly in the Domain Name System."
".travel","travel and tourism industry related sites","Must be verified as a legitimate travel-related entity."
".xxx","adult entertainment","For sites providing sexually explicit content, such as pornography."
